inputFileName=c5315.bench; numberOfInputs=178; numberOfOutputs=123; numberOfGates=2307; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 709; 709; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [709]; [141]; [709]; []; {709}; {0}; 47.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1; 709; 709; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [709]; [141]; [709]; []; {709}; {1}; 62.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2; 816; 816; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [816]; [293]; [816]; []; {816}; {0}; 66.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
3; 816; 816; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [816]; [293]; [816]; []; {816}; {1}; 47.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
4; 1042; 1042; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1042]; [135, 631]; [1042]; [1149]; {1042}; {10}; 64.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx10xxxxxx0
5; 1042; 1149; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1042, 1149]; [135, 631]; [1149]; [7626]; {1149}; {10}; 47.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx10xxxxxx0
6; 1042; 7626; 3; 3; 0.0013003901170351106; 3; 1; 8; [1042, 1149, 7626]; [135, 631, 7525]; [7626]; []; {7626}; {000}; 64.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx10xxxxxx0
7; 1043; 1043; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1043]; [591]; [1043]; [1150]; {1043}; {1}; 64.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
8; 1043; 1150; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1043, 1150]; [591, 27]; [1150]; [2060]; {1150}; {10}; 47.0; xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
9; 1043; 2060; 3; 3; 0.0013003901170351106; 2; 1; 4; [1043, 1150, 2060]; [591, 27]; [2060]; []; {2060}; {00}; 47.0; xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxx
10; 1043; 2060; 3; 3; 0.0013003901170351106; 2; 1; 4; [1043, 1150, 2060]; [591, 27]; [2060]; []; {2060}; {01}; 63.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxx
11; 1043; 2060; 3; 3; 0.0013003901170351106; 2; 1; 4; [1043, 1150, 2060]; [591, 27]; [2060]; []; {2060}; {10}; 62.0; xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
12; 1043; 2060; 3; 3; 0.0013003901170351106; 2; 1; 4; [1043, 1150, 2060]; [591, 27]; [2060]; []; {2060}; {11}; 47.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
13; 1066; 1066; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1066]; [592]; [1066]; []; {1066}; {0}; 49.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxx
14; 1067; 1067; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1067]; [595]; [1067]; [2350, 2835, 2836, 2837, 2838, 2851, 2852, 2853, 2854, 2923, 2924, 2925]; {1067}; {0}; 66.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0x1x0xxxxxxxxxxxx1xxxxx0xxxx0x0x1xxxxxxxxxxxxxx000000xxxxxxxxxxxxxxx01xxxxxxxxxxx
15; 1080; 1080; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1080]; [596]; [1080]; [3405, 3406, 3407, 3408, 3413, 3414, 3415, 3416, 3453, 3454, 3455]; {1080}; {0}; 61.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0x1x0xxxxxxxxxxxx1xxxxx1xxxx0x1x1xxxxxxxxxxxxxx000000xxxxxxxxxxxxxxx10xxxxxxxxxxx
16; 1092; 1092; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1092]; [597]; [1092]; [3401, 3402, 3403, 3404, 3409, 3410, 3411, 3412, 3450, 3451, 3452]; {1092}; {1}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0x1x0xxxxxxxxxxxx1xxxxxxxxxx0xxx1xxxxxxxxxxxxxx000010xxxxxxxxxxxxxxx111xxxxxxxxxx
17; 1104; 1104; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1104]; [598]; [1104]; [2349, 2831, 2832, 2833, 2834, 2847, 2848, 2849, 2850, 2919, 2921, 2922]; {1104}; {0}; 64.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0x1x0xxxxxxxxxxxx1xxxxxxxxxxxxxx1xxxxxxxxxxxxxx000100xxxxxxxxxxxxxxx11x0xxxxxxxxx
18; 1137; 1137; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1137]; [545]; [1137]; []; {1137}; {0}; 64.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxx
19; 1138; 1138; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1138]; [348]; [1138]; []; {1138}; {0}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
20; 1139; 1139; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1139]; [366]; [1139]; []; {1139}; {0}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
21; 1140; 1140; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1140]; [552, 562]; [1140]; []; {1140}; {01}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xx1xxxxxxxxxxxxxxxxxxxxxx
22; 1141; 1141; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1141]; [549]; [1141]; []; {1141}; {0}; 49.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxx
23; 1142; 1142; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1142]; [545]; [1142]; []; {1142}; {0}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxx
24; 1143; 1143; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1143]; [545]; [1143]; []; {1143}; {0}; 50.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxx
25; 1143; 1143; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1143]; [545]; [1143]; []; {1143}; {1}; 47.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxx
26; 1144; 1144; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1144]; [338]; [1144]; []; {1144}; {0}; 49.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
27; 1145; 1145; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1145]; [358]; [1145]; []; {1145}; {1}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
28; 1146; 1146; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1146]; [373, 1]; [1146]; [1972]; {1146}; {00}; 48.0; 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
29; 1146; 1972; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1146, 1972]; [373, 1]; [1972]; []; {1972}; {00}; 48.0; 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
30; 1147; 1147; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1147]; [141, 145]; [1147]; []; {1147}; {00}; 49.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
31; 1148; 1148; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1148]; [592]; [1148]; [2054]; {1148}; {1}; 49.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxx
32; 1148; 2054; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1148, 2054]; [592, 136]; [2054]; []; {2054}; {00}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxx
33; 1149; 1149; 1; 1; 4.3346337234503684E-4; 1; 1; 2; [1149]; [1042]; [1149]; [7626]; {1149}; {1}; 54.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx10xxxxxx1
34; 1149; 7626; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1149, 7626]; [1042, 7525]; [7626]; []; {7626}; {11}; 48.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx10xxxxxx1
35; 1150; 1150; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1150]; [1043, 27]; [1150]; [2060]; {1150}; {11}; 64.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxx
36; 1150; 2060; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1150, 2060]; [1043, 27]; [2060]; []; {2060}; {00}; 64.0; xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
37; 1150; 2060; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1150, 2060]; [1043, 27]; [2060]; []; {2060}; {01}; 47.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxx
38; 1150; 2060; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1150, 2060]; [1043, 27]; [2060]; []; {2060}; {10}; 78.0; xxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxx
39; 1150; 2060; 2; 2; 8.669267446900737E-4; 2; 1; 4; [1150, 2060]; [1043, 27]; [2060]; []; {2060}; {11}; 46.0; xxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxx
40; 1151; 1151; 1; 1; 4.3346337234503684E-4; 2; 1; 4; [1151]; [386, 556]; [1151]; [2061]; {1151}; {10}; 65.0; xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxx
