inputFileName=c7552.bench; numberOfInputs=207; numberOfOutputs=108; numberOfGates=3512; unusedNode=C
trial; number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 0; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {000}; 40.0; none
0; 1; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {001}; 245078.0; none
0; 2; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {010}; 247037.0; none
0; 3; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {011}; 206828.0; none
0; 4; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {100}; 51.0; none
0; 5; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {101}; 246230.0; none
0; 6; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {110}; 244206.0; none
0; 7; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {806}; {111}; 203433.0; none
0; 8; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {6912}; {000}; 51.0; none
0; 9; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {6912}; {001}; 140.0; xxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx110xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx101x0xxxxxxxxxxxxx
0; 10; 6912; 806; 0; 2; 5.694760820045558E-4; 3; 2; 16; [6912, 806]; [334, 5948, 6542]; [806, 6912]; [1380, 1404, 3041, 4544, 4576, 8333, 8339, 8341, 8342, 8344, 8345, 8346, 8347, 8672, 8675]; {6912}; {010}; 390.0; xxxxx0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0xxxxxxxxxxx01xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx100x0xxxxxxxxxxxxx
