inputFileName=cSoroushNotebook.bench; numberOfInputs=4; numberOfOutputs=2; numberOfGates=7; unusedNode=C
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms); testVector
0; 1; 1; 1; 1; 0.14285714285714285; 1; 1; 2; [1]; [A]; [1]; [3, 4, 5]; {1}; {0}; 25.0; 0110
1; 1; 1; 1; 1; 0.14285714285714285; 1; 1; 2; [1]; [A]; [1]; [3, 4, 5]; {1}; {1}; 26.0; 1110
2; 2; 2; 1; 1; 0.14285714285714285; 2; 1; 4; [2]; [B, C]; [2]; [5]; {2}; {10}; 23.0; 110x
3; 2; 5; 2; 2; 0.2857142857142857; 3; 1; 8; [2, 5]; [B, C, 1]; [5]; [6, 7]; {5}; {100}; 24.0; 110x
4; 3; 3; 1; 1; 0.14285714285714285; 2; 1; 4; [3]; [1, D]; [3]; [4, 7]; {3}; {01}; 23.0; 1111
5; 4; 4; 1; 1; 0.14285714285714285; 2; 1; 4; [4]; [1, 3]; [4]; [6]; {4}; {00}; 24.0; none
6; 4; 4; 1; 1; 0.14285714285714285; 2; 1; 4; [4]; [1, 3]; [4]; [6]; {4}; {01}; 24.0; 111x
7; 4; 4; 1; 1; 0.14285714285714285; 2; 1; 4; [4]; [1, 3]; [4]; [6]; {4}; {10}; 25.0; 0xx1
8; 4; 4; 1; 1; 0.14285714285714285; 2; 1; 4; [4]; [1, 3]; [4]; [6]; {4}; {11}; 31.0; 0xx0
9; 4; 6; 2; 2; 0.2857142857142857; 3; 1; 8; [4, 6]; [1, 3, 5]; [6]; []; {6}; {010}; 31.0; 10xx
10; 5; 5; 1; 1; 0.14285714285714285; 2; 1; 4; [5]; [1, 2]; [5]; [6, 7]; {5}; {00}; 25.0; 10xx
11; 5; 5; 1; 1; 0.14285714285714285; 2; 1; 4; [5]; [1, 2]; [5]; [6, 7]; {5}; {01}; 24.0; 111x
12; 5; 5; 1; 1; 0.14285714285714285; 2; 1; 4; [5]; [1, 2]; [5]; [6, 7]; {5}; {10}; 23.0; 00x1
13; 5; 5; 1; 1; 0.14285714285714285; 2; 1; 4; [5]; [1, 2]; [5]; [6, 7]; {5}; {11}; 28.0; 0111
14; 6; 6; 1; 1; 0.14285714285714285; 2; 1; 4; [6]; [4, 5]; [6]; []; {6}; {01}; 26.0; 0xx0
15; 7; 7; 1; 1; 0.14285714285714285; 2; 1; 4; [7]; [3, 5]; [7]; []; {7}; {10}; 26.0; 10xx
