inputFileName=s526n.bench; numberOfInputs=24; numberOfOutputs=27; numberOfGates=194; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; g90; g72; 0; 2; 0.010309278350515464; 2; 2; 8; [g90, g72]; [g13, g14]; [g90, g72]; [g35, g76, g81, g82, g92, g33, g42, g75, g70, g123]; g90; 10; 2831
1; g90; g112; 0; 2; 0.010309278350515464; 2; 2; 8; [g90, g112]; [g14, g19]; [g112, g90]; [i268, g35, g76, g81, g82, g46, g110, g92, g42, g48, g123, g37, g117]; g112; 11; 2856
2; g90; g169; 0; 2; 0.010309278350515464; 3; 2; 16; [g90, g169]; [g14, g13, g168]; [g90, g169]; [g35, g76, g81, g82, g92, g42, g123, g167]; g90; 110; 3687
3; g90; g144; 0; 2; 0.010309278350515464; 3; 2; 16; [g90, g144]; [g14, g145, g146]; [g90, g144]; [g35, g76, g81, g82, g92, g42, g123, g193]; g90; 000; 3275
4; g90; g74; 4; 4; 0.020618556701030927; 8; 3; 768; [g90, g35, g71, g74]; [g14, g10, g107, g15, g211, g125, g70, g30]; [g90, g71, g74]; [g76, g81, g82, g92, g42, g67, g123, g69]; g74; 00101000; 2898
5; g90; g130; 0; 2; 0.010309278350515464; 3; 2; 16; [g90, g130]; [g14, g32, g33]; [g90, g130]; [g35, g76, g81, g82, g92, g42, g133, g123]; g90; 101; 3026
6; g90; g178; 0; 2; 0.010309278350515464; 5; 2; 64; [g90, g178]; [g14, g164, g165, g166, g189]; [g90, g178]; [g35, g76, g81, g82, g92, g42, g123, g173]; g90; 00111; 2927
7; g90; g79; 4; 4; 0.020618556701030927; 5; 2; 64; [g90, g81, g82, g79]; [g14, g83, g107, g80, g211]; [g79, g90]; [g35, g76, g92, g42, g123]; g79; 01111; 2974
8; g201; i351; 3; 3; 0.015463917525773196; 1; 2; 4; [i351, g205, g201]; [g2]; [g205, g201]; [g204, g203]; g201; 1; 3212
9; g201; g205; 2; 2; 0.010309278350515464; 1; 2; 4; [g205, g201]; [i351]; [g205, g201]; [g204, g203]; g205; 1; 2918
10; g201; g199; 0; 2; 0.010309278350515464; 2; 2; 8; [g201, g199]; [i343, g205]; [g199, g201]; [g203]; g201; 11; 2819
11; g201; g126; 0; 2; 0.010309278350515464; 2; 2; 8; [g201, g126]; [g205, g59]; [g201, g126]; [g203, g115]; g201; 10; 2943
12; g201; g170; 0; 2; 0.010309278350515464; 3; 2; 16; [g201, g170]; [g205, g184, g177]; [g201, g170]; [g203, g167]; g201; 101; 3097
13; g201; g110; 0; 2; 0.010309278350515464; 4; 2; 32; [g201, g110]; [g205, g112, g122, g123]; [g201, g110]; [g203, g106]; g110; 1000; 3311
14; g201; g43; 0; 2; 0.010309278350515464; 4; 2; 32; [g201, g43]; [g205, g83, g11, g14]; [g201, g43]; [g203, g88]; g201; 1001; 3095
15; g201; g153; 0; 2; 0.010309278350515464; 3; 2; 16; [g201, g153]; [g205, g172, g27]; [g201, g153]; [g203, g190]; g201; 111; 3384
16; g201; g182; 0; 2; 0.010309278350515464; 5; 2; 64; [g201, g182]; [g205, g149, g150, g151, g189]; [g201, g182]; [g203, g179]; g201; 01110; 3404
17; g201; g60; 0; 2; 0.010309278350515464; 3; 2; 16; [g201, g60]; [g205, g10, g211]; [g60, g201]; [g203]; g60; 100; 14631
18; g201; g106; 0; 2; 0.010309278350515464; 5; 2; 64; [g201, g106]; [g205, g109, g110, g111, g114]; [g106, g201]; [g203]; g201; 11101; 6225
19; g87; i359; 0; 2; 0.010309278350515464; 3; 2; 16; [g87, i359]; [g0, g85, g86]; [i359, g87]; [g211, g84]; i359; 110; 2973
20; g87; g195; 0; 2; 0.010309278350515464; 3; 2; 16; [g87, g195]; [g28, g85, g86]; [g195, g87]; [g196, g84]; g195; 001; 3150
21; g87; g175; 0; 2; 0.010309278350515464; 4; 2; 32; [g87, g175]; [g85, g86, g174, g12]; [g87, g175]; [g84, g173]; g175; 1001; 4062
22; g87; g139; 0; 2; 0.010309278350515464; 4; 2; 32; [g87, g139]; [g85, g86, g145, g146]; [g87, g139]; [g84, g137]; g139; 0111; 3666
23; g87; g98; 0; 2; 0.010309278350515464; 6; 2; 128; [g87, g98]; [g85, g86, g107, g10, g108, g97]; [g87, g98]; [g84, g96]; g87; 001000; 3164
24; g87; g166; 0; 2; 0.010309278350515464; 5; 2; 64; [g87, g166]; [g85, g86, g172, g177, g24]; [g166, g87]; [g178, g84]; g87; 00100; 3215
25; g87; g91; 0; 2; 0.010309278350515464; 3; 2; 16; [g87, g91]; [g85, g86, g94]; [g91, g87]; [g92, g84]; g87; 011; 6310
26; g87; g183; 0; 2; 0.010309278350515464; 4; 2; 32; [g87, g183]; [g85, g86, g186, g187]; [g183, g87]; [g84]; g87; 0101; 5038
27; g57; g135; 0; 2; 0.010309278350515464; 5; 2; 64; [g57, g135]; [g20, g59, g16, g17, g18]; [g135, g57]; [g146, g114]; g135; 00000; 3205
28; g57; i285; 0; 2; 0.010309278350515464; 5; 2; 64; [g57, i285]; [g23, g59, g16, g17, g18]; [i285, g57]; [g147, g114]; g57; 11010; 3281
29; g57; g59; 2; 2; 0.010309278350515464; 4; 2; 32; [g59, g57]; [g211, g16, g17, g18]; [g59, g57]; [g126, g44, g45, g51, g52, g58, g88, g100, g114]; g57; 0011; 3030
30; g57; g207; 0; 2; 0.010309278350515464; 5; 2; 64; [g57, g207]; [g212, g59, g16, g17, g18]; [g207, g57]; [g209, g114]; g207; 00010; 3260
31; g57; g55; 0; 2; 0.010309278350515464; 5; 2; 64; [g57, g55]; [g116, g18, g59, g16, g17]; [g55, g57]; [g113, g114]; g55; 01101; 2874
32; g57; g98; 0; 2; 0.010309278350515464; 8; 2; 512; [g57, g98]; [g59, g16, g17, g18, g107, g10, g108, g97]; [g57, g98]; [g114, g96]; g57; 00100100; 2939
33; g57; g186; 0; 2; 0.010309278350515464; 7; 2; 256; [g57, g186]; [g59, g16, g17, g18, g184, g189, g185]; [g57, g186]; [g114, g183]; g57; 1101010; 3152
34; g57; g48; 0; 2; 0.010309278350515464; 7; 2; 256; [g57, g48]; [g59, g16, g17, g18, g122, g94, g112]; [g48, g57]; [g100, g114]; g57; 1011100; 12763
35; g57; g67; 0; 2; 0.010309278350515464; 8; 2; 512; [g57, g67]; [g59, g16, g17, g18, g211, g63, g64, g71]; [g67, g57]; [g62, g114]; g67; 00000001; 3068
36; g57; g127; 0; 2; 0.010309278350515464; 6; 2; 128; [g57, g127]; [g59, g16, g17, g18, g133, g134]; [g127, g57]; [g114]; g57; 101001; 3085
37; g57; g60; 0; 2; 0.010309278350515464; 6; 2; 128; [g57, g60]; [g59, g16, g17, g18, g10, g211]; [g60, g57]; [g114]; g57; 011001; 3324
38; g57; g179; 0; 2; 0.010309278350515464; 6; 2; 128; [g57, g179]; [g59, g16, g17, g18, g181, g182]; [g179, g57]; [g114]; g179; 000001; 3079
39; g139; g124; 0; 2; 0.010309278350515464; 3; 2; 16; [g139, g124]; [g20, g145, g146]; [g124, g139]; [g120, g121, g37, g117, g132, g66, g137]; g124; 100; 3222
40; g139; g131; 0; 2; 0.010309278350515464; 3; 2; 16; [g139, g131]; [g21, g145, g146]; [g131, g139]; [g40, g134, g129, g66, g137]; g139; 001; 3182
41; g139; g180; 0; 2; 0.010309278350515464; 3; 2; 16; [g139, g180]; [g25, g145, g146]; [g180, g139]; [g181, g137]; g139; 011; 3070
42; g139; g81; 0; 2; 0.010309278350515464; 4; 2; 32; [g139, g81]; [g83, g90, g145, g146]; [g81, g139]; [g79, g137]; g139; 0000; 3197
43; g139; g175; 0; 2; 0.010309278350515464; 4; 2; 32; [g139, g175]; [g174, g12, g145, g146]; [g139, g175]; [g137, g173]; g139; 0000; 3191
44; g139; g110; 0; 2; 0.010309278350515464; 5; 2; 64; [g139, g110]; [g112, g122, g123, g145, g146]; [g139, g110]; [g137, g106]; g110; 01011; 3274
45; g139; g109; 0; 2; 0.010309278350515464; 6; 2; 128; [g139, g109]; [g145, g146, g107, g10, g108, g113]; [g139, g109]; [g137, g106]; g139; 101101; 6477
46; g139; g125; 0; 2; 0.010309278350515464; 6; 2; 128; [g139, g125]; [g145, g146, g19, g104, g116, g16]; [g125, g139]; [g121, g74, g132, g66, g137]; g125; 110000; 3231
47; g139; g114; 0; 2; 0.010309278350515464; 4; 2; 32; [g139, g114]; [g145, g146, g57, g58]; [g139, g114]; [g137, g106]; g139; 1100; 3185
48; g139; g188; 0; 2; 0.010309278350515464; 4; 2; 32; [g139, g188]; [g145, g146, g191, g192]; [g188, g139]; [g137]; g188; 1010; 2988
49; g151; g122; 0; 2; 0.010309278350515464; 3; 2; 16; [g151, g122]; [g30, g184, g13]; [g122, g151]; [g34, g36, g38, g93, g99, g103, g110, g120, g45, g49, g48, g118, g182]; g122; 101; 3182
50; g151; g180; 0; 2; 0.010309278350515464; 3; 2; 16; [g151, g180]; [g25, g184, g13]; [g180, g151]; [g181, g182]; g180; 110; 3180
51; g151; g40; 0; 2; 0.010309278350515464; 4; 2; 32; [g151, g40]; [g12, g131, g184, g13]; [g151, g40]; [g182, g73]; g40; 0001; 3262
52; g151; g44; 0; 2; 0.010309278350515464; 4; 2; 32; [g151, g44]; [g59, g94, g184, g13]; [g151, g44]; [g182, g95]; g44; 0001; 2856
53; g151; g53; 0; 2; 0.010309278350515464; 6; 2; 128; [g151, g53]; [g184, g13, g83, g11, g14, g85]; [g53, g151]; [g118, g182]; g151; 011101; 14996
54; g151; g70; 0; 2; 0.010309278350515464; 6; 2; 128; [g151, g70]; [g184, g13, g72, g12, g21, g20]; [g70, g151]; [g74, g182]; g151; 011010; 4894
55; g151; g146; 0; 2; 0.010309278350515464; 6; 2; 128; [g151, g146]; [g184, g13, g140, g135, g29, g142]; [g146, g151]; [g139, g144, g182]; g151; 011111; 3442
56; g151; g60; 0; 2; 0.010309278350515464; 4; 2; 32; [g151, g60]; [g184, g13, g10, g211]; [g60, g151]; [g182]; g151; 0000; 3315
57; g151; g193; 0; 2; 0.010309278350515464; 4; 2; 32; [g151, g193]; [g184, g13, g143, g144]; [g193, g151]; [g189, g192, g158, g182, g167]; g151; 1011; 2988
58; g151; g89; 0; 2; 0.010309278350515464; 5; 2; 64; [g151, g89]; [g184, g13, g92, g93, g95]; [g89, g151]; [g182]; g89; 01110; 3926
59; g158; g140; 6; 6; 0.030927835051546393; 10; 4; 4096; [g140, g143, g146, g193, g144, g158]; [g21, g20, g141, g142, g145, g184, g177, g26, g135, g29]; [g193, g140, g146, g158]; [g189, g138, g139, g192, g187, g167]; g193; 1110101000; 4145
60; g158; i268; 0; 2; 0.010309278350515464; 5; 2; 64; [g158, i268]; [g112, g193, g184, g177, g26]; [i268, g158]; [g56, g187]; i268; 10101; 4092
61; g158; g170; 0; 2; 0.010309278350515464; 4; 2; 32; [g158, g170]; [g184, g177, g193, g26]; [g158, g170]; [g187, g167]; g170; 1111; 3928
62; g158; g138; 0; 2; 0.010309278350515464; 8; 2; 512; [g158, g138]; [g140, g20, g141, g142, g193, g184, g177, g26]; [g158, g138]; [g187, g137]; g158; 11001100; 3865
63; g158; g186; 0; 2; 0.010309278350515464; 6; 2; 128; [g158, g186]; [g184, g189, g185, g193, g177, g26]; [g158, g186]; [g187, g183]; g186; 101100; 3976
64; g158; g151; 0; 2; 0.010309278350515464; 5; 2; 64; [g158, g151]; [g184, g13, g193, g177, g26]; [g151, g158]; [g182, g187]; g158; 10110; 3897
65; g158; g75; 0; 2; 0.010309278350515464; 7; 2; 256; [g158, g75]; [g72, g211, g73, g193, g184, g177, g26]; [g75, g158]; [g69, g187]; g158; 0000111; 3867
66; g158; g63; 0; 2; 0.010309278350515464; 7; 2; 256; [g158, g63]; [g193, g184, g177, g26, g104, g116, g16]; [g63, g158]; [g67, g187]; g158; 1011010; 3853
67; g158; g73; 0; 2; 0.010309278350515464; 8; 2; 512; [g158, g73]; [g193, g184, g177, g26, g38, g39, g40, g41]; [g73, g158]; [g75, g187]; g73; 11110100; 3860
68; g158; g194; 0; 2; 0.010309278350515464; 6; 2; 128; [g158, g194]; [g193, g184, g177, g26, g196, g197]; [g194, g158]; [g187]; g194; 011111; 2806
69; g63; g65; 0; 2; 0.010309278350515464; 4; 2; 32; [g63, g65]; [g12, g104, g116, g16]; [g65, g63]; [g39, g67, g68, g64]; g63; 0001; 13780
