inputFileName=s820.bench; numberOfInputs=23; numberOfOutputs=24; numberOfGates=289; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; g281; g318; 0; 2; 0.006920415224913495; 2; 2; 8; [g281, g318]; [g16, g39]; [g281, g318]; [g142, g279, g277, g121, g128, g232, g233, g251, g252, g271, g226, g272, g264, g152, g258, g219, g136, g244, g114, g236, g248, g321, g63, g308, g70, g79, g64, g72, g71, g87, g301, g44, g54, g57, g156, g299, g46, g74, g147, g138, g254, g66]; g318; 10; 7541
1; g281; g161; 0; 2; 0.006920415224913495; 3; 2; 16; [g281, g161]; [g16, g3, g42]; [g281, g161]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g74, g147, g157, g66]; g161; 011; 242286
2; g281; g250; 0; 2; 0.006920415224913495; 4; 2; 32; [g281, g250]; [g16, g39, g40, g42]; [g281, g250]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g74, g147, g153, g66]; g281; 0001; 97699
3; g281; g117; 0; 2; 0.006920415224913495; 4; 2; 32; [g281, g117]; [g16, g1, g39, g313]; [g281, g117]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g74, g147, g104, g66]; g281; 0101; 179364
4; g281; g111; 0; 2; 0.006920415224913495; 3; 2; 16; [g281, g111]; [g16, g15, g42]; [g281, g111]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g266, g74, g147, g66]; g111; 010; 8128
5; g281; g89; 8; 8; 0.02768166089965398; 16; 2; 131072; [g281, g279, g277, g147, g154, g150, g152, g89]; [g16, g42, g323, g280, g256, g148, g149, g313, g317, g318, g151, g155, g38, g267, g276, g278]; [g281, g89]; [g142, g90, g136, g244, g79, g71, g87, g301, g156, g74, g66]; g89; 0010010111001000; 366920
6; g281; g123; 0; 2; 0.006920415224913495; 5; 2; 64; [g281, g123]; [g16, g124, g125, g126, g256]; [g281, g123]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g74, g147, g122, g66]; g281; 11011; 146267
7; g281; g315; 0; 2; 0.006920415224913495; 3; 2; 16; [g281, g315]; [g16, g320, g321]; [g315, g281]; [g142, g279, g277, g136, g244, g79, g71, g87, g301, g156, g74, g147, g66]; g315; 110; 118004
8; g281; g74; 2; 2; 0.006920415224913495; 3; 2; 16; [g281, g74]; [g16, g267, g201]; [g281, g74]; [g142, g279, g277, g136, g244, g78, g79, g71, g87, g301, g156, g147, g66]; g74; 111; 271662
9; g281; g155; 0; 2; 0.006920415224913495; 5; 2; 64; [g281, g155]; [g16, g103, g328, g317, g104]; [g281, g155]; [g142, g279, g277, g136, g244, g89, g79, g71, g87, g301, g156, g74, g147, g66]; g281; 10100; 160768
10; g127; g88; 0; 2; 0.006920415224913495; 5; 2; 64; [g127, g88]; [g18, g38, g39, g313, g328]; [g88, g127]; [g90, g51]; g88; 01110; 336541
11; g127; i127; 0; 2; 0.006920415224913495; 4; 2; 32; [g127, i127]; [g38, g39, g313, g328]; [i127, g127]; [g228, g51]; i127; 0110; 159266
12; g127; g234; 0; 2; 0.006920415224913495; 7; 2; 256; [g127, g234]; [g15, g40, g313, g42, g38, g39, g328]; [g234, g127]; [g222, g51]; g234; 1010111; 469967
