inputFileName=s838.1.bench; numberOfInputs=66; numberOfOutputs=33; numberOfGates=446; unusedNodeNumber=_CLONE
number; gate1; gate2; numDuplicateGates; numRemovedGates; percentOfRemovedGates; numInputs; numOutputs; numBenchFiles; duplicateGates; inputNodes; outputNodes; afterOutputNodes; outputFocus; locationOfMux; testCubeTime (ms)
0; i171.1; i382.2; 0; 2; 0.004484304932735426; 2; 2; 8; [i171.1, i382.2]; [i167, i1.4]; [i171.1, i382.2]; [i171.4, i382.3]; i171.1; 10; 13188
1; i171.1; i837; 0; 2; 0.004484304932735426; 2; 2; 8; [i171.1, i837]; [i167, x.7]; [i171.1, i837]; [i171.4, i801.2]; i171.1; 00; 3324
2; i171.1; i975; 0; 2; 0.004484304932735426; 2; 2; 8; [i171.1, i975]; [i167, x.25]; [i171.1, i975]; [i171.4, i986, i799.7]; i975; 00; 3121
3; i171.1; i186.3; 0; 2; 0.004484304932735426; 3; 2; 16; [i171.1, i186.3]; [i167, x.5, i186.2]; [i171.1, i186.3]; [i171.4, i113]; i186.3; 010; 266
4; i171.1; i1183.2; 0; 2; 0.004484304932735426; 3; 2; 16; [i171.1, i1183.2]; [i167, p.16, c.16]; [i171.1, i1183.2]; [i171.4, i1178]; i171.1; 011; 5915
5; i171.1; i360; 0; 2; 0.004484304932735426; 3; 2; 16; [i171.1, i360]; [i167, x.13, i1.4]; [i360, i171.1]; [i301.1, i171.4, i301.3]; i360; 101; 5791
6; i171.1; i700; 0; 2; 0.004484304932735426; 3; 2; 16; [i171.1, i700]; [i167, i693.3, i693.4]; [i700, i171.1]; [i171.4]; i700; 101; 8459
7; i661.2; i344; 0; 2; 0.004484304932735426; 2; 2; 8; [i661.2, i344]; [x.15, x.27]; [i661.2, i344]; [i661.3, i364.1, i389.1, i2.4]; i344; 11; 21122
8; i661.2; i1075; 0; 2; 0.004484304932735426; 2; 2; 8; [i661.2, i1075]; [x.27, p.3]; [i661.2, i1075]; [i661.3, i1083.1]; i661.2; 11; 6800
9; i661.2; i563.3; 0; 2; 0.004484304932735426; 3; 2; 16; [i661.2, i563.3]; [x.27, i559, i563.2]; [i661.2, i563.3]; [i661.3, i503]; i661.2; 101; 3805
10; i661.2; i309; 0; 2; 0.004484304932735426; 3; 2; 16; [i661.2, i309]; [x.27, i382.3, i382.4]; [i309, i661.2]; [i661.3]; i309; 100; 6801
